ITS2 type profile UID		71572	72559	72301	72043	72047	72446	72407	72048	72498	72044	72046	71917	72507	72045	72065	71940	71949	71825	71829	72157	72418	72076	72097	71730	71884	72156	72040	72521	72515	72174	72168	72177
Clade		A	A	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D
Majority ITS2 sequence		A1	A1	B1	C3f	C3f	C1	C1	C3f/C3	C15	C3f/C3fl	C42a	C1	C3	C42.2	C3	C1/C3	C42a	C42a	C42g	C1y	C42.2	C3k	C91	C1	C15	C3fn	C1	D1	D1	D1	D1	D1
Associated species		S. microadriaticum	S. microadriaticum	S. minutum,S. antillogorgium,S. pseudominutum	None	None	S. goreaui	S. goreaui	None	None	None	None	S. goreaui	None	None	None	S. goreaui	None	S. goreaui	S. goreaui	None	S. goreaui	None	None	S. goreaui	None	None	S. goreaui	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		1	1	2	50	28	17	14	13	9	7	7	6	5	4	2	2	2	2	2	2	2	1	1	1	1	1	1	58	10	10	3	2
ITS2 profile abundance DB		37	12	64	50	28	372	257	13	11	7	7	17	6	4	40	77	26	14	38	5	25	20	13	29	27	6	33	74	105	103	23	90
ITS2 type profile		A1-A1bw-A1bf-A1bx	A1-A1ee	B1-B1a-B1b-B1g	C3f-C3fl-C3-C50a-C3ae-C3fm-C3h-C50q	C3f-C3fl-C50a-C3-C3ae-C3fm-C3h-C3bj	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k	C1/C3-C1c-C1b-C72k-C1w	C3f/C3-C50a-C3fl-C3ae-C3fm-C50q-C3b	C15-C15ek-C15gy-C15gk-C15el	C3f/C3fl-C3ae-C3-C3bj-C50a-C3h	C42a-C1-C42.2-C1j-C1b-C42as-C42aa	C1/C1b/C3-C1u-C1bo	C3-C3fo-C3a	C42.2-C42aq-C1-C42ar	C21/C3	C3/C1	C42a-C42.2-C1-C1b-C42b-C1au	C42a/C1b/C1-C42.2-C42b	C42g/C42a/C1/C42.2-C42h-C42b-C1b	C1y	C42.2/C1-C42i-C3-C1b-C1au	C3k	C91	C1/C1c-C1b	C15-C15by	C3fn	C1/C42.2/C3-C1b	D1-D4-D6-D1b-D1d-D6c-D4d	D1-D4-D4c-D6-D1d-D2	D1-D4-D4c-D1c-D2	D1/D4/D1d-D6	D4/D1/D1ab-D6
107293	C112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10786.0	0	0	0	0
107283	C103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24859.0	0	0	0	0
107302	C120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9696.0	0	0	0	0
107286	C106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27277.0	0	0	0	0
107294	C113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13880.0	0	0	0	0
107409	E105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16795.0	0	0	0	0
107411	E107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20315.0	0	0	0	0
107320	C25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29980.0	0	0	0	0
107285	C105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21279.0	0	0	0	0
107300	C119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20640.0	0	0	0	0
107419	E114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15616.0	0	0	0	0
107281	C101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39726.0	0	0	0	0
107416	E111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19027.0	0	0	0	0
107422	E117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12731.0	0	0	0	0
107410	E106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5372.0	0	0	0	0
107299	C118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11480.0	0	0	0	0
107295	C114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14792.0	0	0	0	0
107430	E124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10064.0	0	0	0	0
107407	E103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7736.0	0	0	0	0
107418	E113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15551.0	0	0	0	0
107284	C104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25831.0	0	0	0	0
107412	E108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19268.0	0	0	0	0
107424	E119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15769.0	0	0	0	0
107282	C102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27871.0	0	0	0	0
107303	C121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29381.0	0	0	0	0
107298	C117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10057.0	0	0	0	0
107296	C115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12873.0	0	0	0	0
107406	E102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43680.0	0	0	0	0
107405	E101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35097.0	0	0	0	0
107428	E122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13828.0	0	0	0	0
107292	C111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14003.0	0	0	0	0
107404	E100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8622.0	0	0	0	0
107429	E123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39719.0	0	0	0	0
107444	E25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38688.0	0	0	0	0
107421	E116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7095.0	0	0	0	0
107426	E120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13332.0	0	0	0	0
107427	E121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7106.0	0	0	0	0
107423	E118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4641.0	0	0	0	0
107306	C124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28621.0	0	0	0	0
107420	E115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5057.0	0	0	0	0
107305	C123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20032.0	0	0	0	0
107291	C110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17925.0	0	0	0	0
107297	C116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20207.0	0	0	0	0
107304	C122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31060.0	0	0	0	0
107316	C21	0	0	0	0	0	0	0	1652.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37253.0	0	0	0	0
107443	E24	0	0	0	0	4218.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49984.0	0	0	0	0
107399	C97	0	0	0	2377.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14901.0	0	0	0	0
107398	C96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4313.0	0	0	0	0	0	0	0	0	0	6226.0	0	19214.0	0	0	0	0
107317	C22	0	0	0	0	7986.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10238.0	0	0	0	0
107278	C1	0	0	0	22340.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107392	C90	0	0	0	33156.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107402	E1	0	0	0	49072.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107506	E81	0	0	0	44290.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107325	C3	0	0	0	20595.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107516	E90	0	0	0	56490.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107382	C81	0	0	0	21334.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107512	E87	0	0	0	42327.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107347	C5	0	0	0	33503.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107379	C79	0	0	0	43090.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107351	C53	0	0	0	44823.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107335	C39	0	0	0	29974.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107464	E43	0	0	0	17563.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107457	E37	0	0	0	36560.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107471	E5	0	0	0	40165.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107387	C86	0	0	0	37814.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107461	E40	0	1276.0	0	30518.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107380	C8	0	0	0	41264.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107384	C83	0	0	0	36835.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107403	E10	0	0	0	24526.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107458	E38	0	0	0	38309.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107333	C37	0	0	0	36551.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107508	E83	0	0	0	42264.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107324	C29	0	0	0	34329.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107456	E36	0	0	0	28066.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107332	C36	0	0	0	28955.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107334	C38	0	0	0	48434.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107509	E84	0	0	0	59160.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107476	E54	0	0	0	62973.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107377	C77	0	0	0	36974.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107493	E7	0	0	0	31955.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107322	C27	0	0	0	37876.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107385	C84	0	0	0	30859.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107446	E27	0	0	0	40157.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107358	C6	0	0	0	28964.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107513	E88	0	0	0	28035.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107342	C45	0	0	0	32043.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107279	C10	0	0	0	32959.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107339	C42	0	0	0	25680.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107504	E8	0	0	0	36447.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107389	C88	0	0	0	36672.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107388	C87	0	0	0	22376.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107515	E9	0	0	0	27232.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107474	E52	0	0	0	25659.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107340	C43	0	0	0	33916.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107391	C9	0	0	0	23847.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107349	C51	0	0	0	20366.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3390.0	0	0	0	0	0	0	0	0
107463	E42	0	0	0	32545.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4661.0	0
107321	C26	0	0	0	41987.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5045.0	0	0	0	0	0	0	0	0	0	0
107477	E55	0	0	0	0	17728.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107337	C40	0	0	0	0	44866.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107459	E39	0	0	0	0	49599.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107507	E82	0	0	0	0	23117.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107390	C89	0	0	0	0	38736.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107386	C85	0	0	0	0	47285.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107462	E41	0	0	0	0	42234.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107514	E89	0	0	0	0	45386.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107352	C54	0	0	0	0	37135.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107503	E79	0	0	0	0	15688.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107369	C7	0	0	0	0	33987.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107353	C55	0	0	0	0	53095.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107438	E2	0	0	0	0	39754.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107350	C52	0	0	0	0	37519.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107381	C80	0	0	0	0	43394.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107501	E77	0	0	0	0	38414.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	659.0
107511	E86	0	0	0	0	24768.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107465	E44	0	0	0	0	36542.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107383	C82	0	0	0	0	31950.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107466	E45	0	0	0	0	37958.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107523	E97	0	0	0	0	9874.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246.0
107473	E51	0	0	0	0	44824.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107475	E53	0	0	0	0	38287.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107341	C44	0	0	0	0	38744.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107338	C41	0	0	0	0	33109.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7530.0	0
107441	E22	0	0	0	0	22088.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10691.0	0	0	0	0
107414	E11	0	0	0	0	0	37822.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107290	C11	0	0	0	0	0	41998.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107518	E92	0	0	0	0	0	26802.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107367	C68	0	0	0	0	0	41685.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107309	C15	0	0	0	0	0	36813.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107301	C12	0	0	0	0	0	33038.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107425	E12	0	0	0	0	0	42765.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107370	C70	0	0	0	0	0	90577.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107308	C14	0	0	0	0	0	54432.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107492	E69	0	0	0	0	0	67712.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107433	E15	0	0	0	0	0	58189.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107432	E14	0	0	0	0	0	23714.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107490	E67	0	0	0	0	0	20957.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107357	C59	0	0	0	0	0	55050.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107307	C13	0	0	0	0	0	44323.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107431	E13	0	0	0	0	0	35475.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107318	C23	0	0	0	0	0	21130.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18881.0	0	0	0	0
107366	C67	0	0	0	0	0	0	50968.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107354	C56	0	0	0	0	0	0	50682.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107483	E60	0	0	0	0	0	0	79757.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107491	E68	0	0	0	0	0	0	34746.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107368	C69	0	0	0	0	0	0	42116.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107479	E57	0	0	0	0	0	0	60740.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107494	E70	0	0	0	0	0	0	29377.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107478	E56	0	0	0	0	0	0	32228.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
