76034	KUS_M02	14214.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76255	RAF_D15	23592.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76047	KUS_M15	15332.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76036	KUS_M04	13486.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76358	SEM_O13	8295.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76207	PJO_O11	12038.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76320	SEM_D05	19107.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76120	PHA_M13	18260.0	0	0	0	0	0	0	0	309.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76325	SEM_D10	8358.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76044	KUS_M12	16411.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76041	KUS_M09	22326.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76326	SEM_D11	5890.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76046	KUS_M14	18247.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76351	SEM_O06	8917.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76042	KUS_M10	8879.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76043	KUS_M11	17393.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76030	KUS_D13	22975.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76037	KUS_M05	21813.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76055	KUS_O08	11085.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76040	KUS_M08	16684.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76038	KUS_M06	20445.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76045	KUS_M13	30110.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76247	RAF_D07	27607.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76330	SEM_D15	24818.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76024	KUS_D07	18706.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76028	KUS_D11	23283.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76026	KUS_D09	12413.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76303	SEM_A03	24341.0	0	0	0	0	0	0	0	0	462.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76313	SEM_A13	23348.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76256	RAF_M01	24676.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76025	KUS_D08	17884.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76039	KUS_M07	16682.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76323	SEM_D08	23313.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76031	KUS_D14	30322.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76261	RAF_M06	14414.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76329	SEM_D14	7847.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76317	SEM_D02	11537.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76021	KUS_D04	16454.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76020	KUS_D03	13349.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76032	KUS_D15	24474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76033	KUS_M01	22826.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76022	KUS_D05	17248.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76269	RAF_M14	13353.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76318	SEM_D03	18358.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76260	RAF_M05	22317.0	0	0	0	0	0	0	0	0	0	0	0	0	242.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76267	RAF_M12	12574.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76029	KUS_D12	21653.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76328	SEM_D13	13665.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76285	RAF_O15	7833.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76178	PJO_D12	11554.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209.0	0	0	0	0	0	0	0	0	0	0
76388	SIS_A14	61449.0	0	0	0	0	0	0	1108.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76362	SEM_P02	33441.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76232	RAF_A06	8823.0	0	0	0	0	0	0	0	202.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76200	PJO_O04	23805.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76312	SEM_A12	15163.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76324	SEM_D09	18962.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76112	PHA_M05	18457.0	0	0	0	0	0	0	0	523.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76110	PHA_M03	15334.0	0	0	0	0	0	0	0	435.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76018	KUS_D01	17096.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76321	SEM_D06	20629.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76099	PHA_D07	16226.0	0	0	0	0	0	0	0	332.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76242	RAF_D02	7869.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76111	PHA_M04	11063.0	0	0	0	0	0	0	302.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76027	KUS_D10	13226.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76365	SEM_P05	9409.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76308	SEM_A08	11697.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76233	RAF_A07	10703.0	0	0	0	0	0	0	0	0	312.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76263	RAF_M08	10654.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76348	SEM_O03	21238.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76176	PJO_D10	24505.0	0	0	0	0	0	0	0	0	0	0	520.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76409	SIS_M05	20275.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76241	RAF_D01	12927.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76395	SIS_D06	13505.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76406	SIS_M02	17127.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76264	RAF_M09	14252.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76023	KUS_D06	10719.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76422	SIS_O03	11444.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76268	RAF_M13	6879.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76014	KUS_A12	16679.0	0	0	0	0	0	0	0	0	0	0	0	487.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76246	RAF_D06	21685.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76115	PHA_M08	12449.0	0	0	0	0	0	0	0	428.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76250	RAF_D10	14047.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76122	PHA_M15	14288.0	0	0	0	0	0	0	655.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76301	SEM_A01	14762.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76243	RAF_D03	20179.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76254	RAF_D14	13649.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76125	PHA_O03	15757.0	0	0	0	0	0	0	0	470.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76019	KUS_D02	6809.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76332	SEM_M02	7067.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	345.0	0	0	0	0	0	0	0	0	0	0	0
76386	SIS_A12	13738.0	0	0	0	0	0	0	0	0	0	0	0	354.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76304	SEM_A04	10893.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76094	PHA_D02	21276.0	0	0	0	0	0	0	0	0	0	0	0	0	0	483.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76340	SEM_M10	10794.0	0	0	0	0	0	0	0	0	480.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76210	PJO_O14	17806.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76302	SEM_A02	13928.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76162	PJO_A11	15979.0	0	0	0	0	0	0	0	0	327.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76251	RAF_D11	9286.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76098	PHA_D06	11401.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.0	0	0	0	0	0	0	0	0	0	0
76186	PJO_M05	16080.0	0	0	0	0	0	0	559.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76322	SEM_D07	24084.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76339	SEM_M09	10041.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555.0	0	0	0	0	0	0	0	0	0	0	0
76309	SEM_A09	22208.0	0	0	0	0	0	0	0	0	351.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76266	RAF_M11	5719.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76121	PHA_M14	14615.0	0	0	0	0	0	0	0	348.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76439	SIS_P05	16467.0	0	0	0	0	0	0	514.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76315	SEM_A15	10630.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	354.0	0	0	0	0	0	0	0	0	0	0	0
76177	PJO_D11	16915.0	0	0	0	0	0	0	0	0	403.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76175	PJO_D09	13017.0	0	0	0	0	0	0	0	0	325.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76311	SEM_A11	24347.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76253	RAF_D13	4536.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76306	SEM_A06	19996.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76383	SIS_A09	39841.0	0	0	0	0	0	0	1388.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76230	RAF_A04	12102.0	0	0	0	0	0	0	0	420.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76376	SIS_A01	11858.0	0	0	0	0	0	0	0	0	0	0	0	366.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76354	SEM_O09	1157.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76160	PJO_A09	15679.0	0	0	0	0	0	0	0	0	0	0	0	379.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76274	RAF_O04	6839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76093	PHA_D01	9239.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76252	RAF_D12	20833.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.0	16.0	0	0	0	0	0	0	0	0	0
76096	PHA_D04	22784.0	0	0	0	0	0	1476.0	0	0	0	0	376.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76163	PJO_A12	12301.0	0	0	0	0	0	0	0	0	316.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76109	PHA_M02	8918.0	0	0	0	0	0	0	0	231.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76107	PHA_D15	19524.0	0	0	0	0	0	0	667.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76169	PJO_D03	11360.0	0	0	0	0	0	0	0	0	0	0	292.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76209	PJO_O13	18205.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76245	RAF_D05	8167.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76389	SIS_A15	20307.0	0	0	0	0	0	0	886.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76108	PHA_M01	6750.0	0	0	0	0	0	0	0	216.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76080	PHA_A03	7830.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76190	PJO_M09	18478.0	0	0	0	0	0	0	565.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76387	SIS_A13	19921.0	0	0	0	0	0	0	681.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76228	RAF_A02	13510.0	0	0	0	0	0	0	0	0	0	0	439.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76132	PHA_O10	11321.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437.0	0	0	0	0	0	0	0	0
76349	SEM_O04	15723.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1995.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76248	RAF_D08	5004.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76338	SEM_M08	7256.0	0	0	0	0	0	0	659.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76119	PHA_M12	16593.0	0	0	0	0	0	0	1095.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76117	PHA_M10	8219.0	0	0	0	0	0	0	0	330.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76102	PHA_D10	9818.0	0	0	0	0	0	0	0	481.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76168	PJO_D02	8731.0	0	0	0	0	0	0	0	0	249.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76127	PHA_O05	14598.0	0	0	0	0	0	0	0	0	0	0	0	0	0	513.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76004	KUS_A02	14870.0	0	0	0	0	0	0	594.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76227	RAF_A01	7781.0	0	0	0	0	0	0	0	440.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76191	PJO_M10	12573.0	0	0	0	0	0	0	0	0	385.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76161	PJO_A10	9110.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.0	0	0	0	0	0	0	0	0	0	0	0
76279	RAF_O09	13340.0	0	0	0	0	0	0	0	0	0	1474.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76258	RAF_M03	25802.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2127.0	0	0	0	0	0	0	0	0	0	0	0	0	0
76153	PJO_A01	9993.0	0	0	0	0	0	0	0	358.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76105	PHA_D13	15778.0	0	0	0	0	0	0	823.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76003	KUS_A01	15424.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1143.0	0	0	0	0	0
76139	PHA_P02	9839.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213.0	0	0	0	0	0	0	0	0	0	0	0	0
76234	RAF_A08	10899.0	0	0	0	0	0	0	0	387.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76331	SEM_M01	8163.0	0	0	0	0	0	0	0	0	322.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76083	PHA_A06	10173.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270.0	0	0	0	0	0	0	0	0
76249	RAF_D09	13342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76240	RAF_A15	10866.0	0	0	0	0	0	0	0	528.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76009	KUS_A07	10578.0	0	0	0	0	0	0	0	0	543.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76238	RAF_A12	14502.0	0	0	0	0	0	0	0	768.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76124	PHA_O02	10765.0	0	0	0	0	0	0	0	779.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76086	PHA_A09	10313.0	0	0	0	0	0	0	0	403.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76244	RAF_D04	6858.0	0	0	0	0	0	0	0	0	0	0	0	0	177.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76314	SEM_A14	11021.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76159	PJO_A08	7879.0	0	0	0	0	0	0	0	0	365.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76180	PJO_D14	11975.0	0	0	0	0	0	0	0	0	657.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76185	PJO_M04	17886.0	0	0	0	0	0	0	720.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76008	KUS_A06	28270.0	0	0	0	0	0	0	1762.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76172	PJO_D06	13034.0	0	0	0	0	0	0	0	0	0	0	0	535.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76081	PHA_A04	11097.0	0	0	0	0	0	0	0	363.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
