134552	214Mc2	62810.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134445	22NBOb	69392.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134568	252Mc2	110893.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134442	228Mc	11142.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134555	218Mc2	17087.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134434	215Mc	655812.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134446	248Mc	37832.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134570	256Mc2	65126.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134580	268Mc2	128841.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134558	225Oc2	56744.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134561	227Mc2	50768.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134569	255Mc2	119645.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134563	231Mc2	68815.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134579	266Oc2	107345.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134595	30NBOb2	133434.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134572	257Mc2	121663.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134551	13NBOb2	132176.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134575	260Mc2	137213.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134566	248Oc2	107109.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134588	296Mc2	134504.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134474	270Mc	44126.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134529	33BNMb	7623.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134554	217Oc2	98051.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134453	255Oc	62596.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134564	231Oc2	135420.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134486	291Mc	25327.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134432	20NBOb	55800.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134576	262Mc2	162111.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134577	262Oc2	116586.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134488	293Mc	19743.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134441	227Oc	56972.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134440	225Mc	4417.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134573	259Mc2	161669.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134475	270Oc	63074.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134457	257Oc	44830.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134464	263Mc	2768.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134459	259Oc	66310.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134473	26NBOb	65638.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	323.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134535	39BNMb	65491.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134435	217Mc	13254.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134443	228Oc	6087.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134477	271Oc	50854.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134476	271Mc	59429.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134489	294Mc	10876.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134567	250Mc2	32238.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134549	10NBOb2	161062.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134587	295Mc2	133082.0	0	0	0	0	0	0	0	0	1561.0	0	0	0	0	158.0	0	0	246.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134444	229Mc	9470.0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134571	256Oc2	103374.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2852.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134582	272Mc2	98944.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2853.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3128.0	0	0	0	0	0
134467	265Mc	61708.0	0	0	0	0	0	0	0	0	1494.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618.0	0	0	0	0	0	0	0	0	1841.0	0	0	0
134560	226Oc2	70099.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4905.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134448	24NBOb	62011.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12716.0	0	0	0	0
134485	28NBOb	65362.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4341.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8252.0	0	0	0	0	0	0
134531	35BNMb	54812.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3717.0	0	0	0	0	0	0	0	0	5000.0	0	0	0	0	0
134584	280Mc2	16302.0	0	0	0	0	0	0	0	0	897.0	0	0	0	0	223.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6628.0	0	0	0	0	0
134540	45BNMb	38896.0	0	0	0	0	0	0	0	0	1853.0	0	0	0	0	344.0	0	0	0	0	0	0	0	0	1592.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16319.0	0
134433	213Mc	0	9890.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134545	6NBOb	0	44360.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	674.0	0	0	0	0	0	0	0	0	0	0	0	0	0
134427	15NBOb	0	88434.0	0	0	0	0	0	0	0	560.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2283.0	0	0	0	0	0	0	0	1869.0	0	0
134556	219Mc2	0	889.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134557	222Mc2	0	8906.0	0	0	0	0	0	0	0	360.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	316.0	0	0	0	617.0	0	0	0	0	0
134487	292Mc	0	2091.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	703.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134470	267Mc	0	34822.0	0	0	0	0	0	0	0	3712.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134585	283Mc2	0	2396.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	620.0	0	0	0
134553	216Mc2	0	391.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207.0	0	0	0
134565	232Mc2	0	4742.0	0	0	0	0	0	0	0	52.0	0	0	0	0	63.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.0	0	1367.0	0	0	0	0	0
134602	320Of2	0	0	0	0	0	0	0	0	0	6485.0	0	0	0	0	0	0	0	3336.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134574	25NBOb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37591.0	0	0	0	0	0	0
134546	7NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43057.0	0	0	0	0	0	0
134536	3NBOb	0	0	324.0	0	0	0	0	0	0	0	0	0	0	0	0	520.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51692.0	0	0	0	0	0	0
134534	38BNMb	0	0	255.0	0	0	0	0	0	0	0	0	0	0	0	0	1583.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44694.0	0	0	0	0	0	0
134428	17NBOb	0	304.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2186.0	0	0	0	0	0	0	0	0	0	0	0	0	49.0	0	0	0	0	0	0	0	0	43443.0	0	0	0	0	0	0
134542	4NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6069.0	0	0	0	0	0	0	0	0	0	0	0	45981.0	0	0	0	0	0	0
134429	18NBOb	0	308.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6116.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33984.0	0	0	0	0	0	0
134608	44BNMb2	0	0	0	0	1155.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30906.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80970.0	0	0	0	0	0	0
134547	8NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	10183.0	0	0	0	0	0	0	0	0	0	0	676.0	0	0	0	0	0	0	0	0	0	0	0	0	35958.0	0	0	0	0	0	0
134607	43BNMb2	0	0	556.0	0	0	0	0	0	0	0	0	0	0	0	0	0	33838.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74197.0	0	0	0	0	0	0
134426	14NBOb	0	0	0	0	0	0	0	1093.0	0	0	0	0	0	0	0	0	0	0	16069.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33931.0	0	0	0	0	0	0
134533	37BNMb	0	0	0	0	0	0	0	0	0	0	0	0	18060.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23865.0	0	0	0	0	0	0
134550	12NBOb2	281.0	0	0	0	0	0	0	0	0	0	0	0	19608.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21242.0	0	0	0	0	0	0
134604	323Of2	0	0	0	0	0	0	0	0	0	0	42237.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134581	269Oc2	0	928.0	0	0	0	0	0	0	0	0	89170.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134603	322Of2	0	0	0	0	0	0	0	0	0	0	49489.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134597	316Of2	0	0	0	0	0	0	0	0	0	0	21825.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134447	249Mc	4444.0	0	0	0	0	0	0	0	0	0	43753.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134592	307Af2	0	0	0	0	0	0	0	0	0	0	53728.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134500	306Af	0	0	0	0	0	0	0	0	0	0	3608.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134596	311Af2	0	0	0	0	0	0	0	0	0	0	24576.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134513	316Af	0	0	0	0	0	0	0	0	0	0	8359.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134598	317Af2	0	234.0	0	0	0	0	0	0	0	0	3018.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327.0	0	0	0	0	0
134606	34BNMb2	0	0	2722.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2736.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10731.0	0	0	0	0	0
134498	304Of	0	0	0	0	0	0	0	0	0	0	0	21053.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134495	302Af	0	0	0	0	0	0	0	0	0	0	0	29775.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134504	310Of	0	0	0	0	0	0	0	0	0	0	0	23329.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134499	305Of	0	0	0	0	0	0	0	0	0	0	0	9107.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134494	301Of	0	0	0	0	0	0	0	0	0	0	0	16245.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134496	303Of	0	0	0	0	0	0	0	0	0	0	0	4499.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134511	314Af	0	0	215.0	0	0	0	0	0	0	0	0	24412.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134516	317Of	0	0	0	0	0	0	0	0	0	0	0	4666.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134510	313Of	0	0	0	0	0	0	0	0	0	0	0	24745.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134512	314Of	0	0	0	0	0	0	0	0	0	0	0	9852.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134438	220Mc	0	0	55777.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134578	264Mc2	0	0	28975.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1564.0	0	0	0	0	0
134439	221Mc	0	0	21920.0	0	0	0	0	0	0	1626.0	0	0	0	0	538.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134450	251Mc	0	0	31862.0	0	0	0	0	0	0	834.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1135.0	0	0	0	0	0	0	0	0	0	0	0	8978.0	0	0	0	0	0
134586	28BNMb2	0	255.0	0	0	0	0	0	0	0	0	0	0	86908.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134610	9NBOb2	0	0	0	0	652.0	0	0	0	0	0	0	0	59708.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134423	11NBOb	0	0	0	0	0	0	0	0	0	0	0	0	41632.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134492	29NBOb	0	0	0	0	0	0	0	0	0	0	0	0	67691.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134493	2NBOb	0	0	0	0	0	0	0	0	0	0	0	0	51299.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134537	41BNMb	0	0	0	0	0	0	0	0	0	0	0	0	26882.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9779.0	0	0	0	0	0	0
134430	19NBOb	0	23232.0	0	0	0	0	0	0	0	0	0	0	27461.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230.0
134518	318Of	0	0	0	0	0	0	0	0	0	0	0	0	0	22525.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134517	318Af	0	0	0	0	0	0	0	0	0	0	0	0	0	6048.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134508	312Of	0	0	0	0	0	0	0	0	0	0	0	0	0	26413.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134507	312Af	0	0	0	0	0	0	0	0	0	0	0	0	0	12824.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134528	324Of	0	0	0	0	0	0	0	0	0	0	0	0	0	3342.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134523	322Af	0	0	0	0	0	0	0	0	0	0	0	0	0	3785.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134525	323Af	0	0	0	0	0	0	0	0	0	0	0	0	0	18786.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
